,User,Date Created,Number of Likes,Source of Tweet,Tweet
3046,josh__tntl,2022-12-23 08:06:50+00:00,0,Twitter for Android,"@ensurewords @Ramsak123 @GRVlagos Lagos development is below par but it's developing still. A state wt zero improvement would v fizzled out whether formerly an FCT. Delta,Rivers&amp;Bayelsa receive huge allocations. Delta &amp; Rivers receives triple wt Lagos gets frm d govt
What have they done with the funds post 1999?"
3047,IdeasArticulatd,2022-12-23 08:06:45+00:00,1,Twitter for Android,"@Nizzy_dee @GRVlagos @GRVlagos2023 Get that state of origin nonsense out of ur head if you're truly interested in a one &amp; united Nigeria.
It's meant to create division &amp; u've obviously fallen for it.
State of Residence is what matters. State of Origin doesn't appear on any passport, mind u."
3048,fredahamioje,2022-12-23 08:06:41+00:00,2,Twitter for Android,"@GRVlagos Better late than never!!! Ordinary campaign fund in your party is stolen, address that!"
3049,JosephOAmadi1,2022-12-23 08:06:24+00:00,0,Twitter for Android,@GRVlagos ...and yet the sycophants applaud the mediocrity of the APC-led government. The masses need to wake up and ask the tough questions come 2023!
3050,1776_yori,2022-12-23 08:05:39+00:00,0,Twitter for Android,"@ensurewords @GRVlagos Same frauds that stole all funds for army or oil money or Doyin Okupes LP who said in 2013 that Nigeria doesn't have funds to build rails. PDP,PDP lite and PDP Annex do not have the track records of delivering projects like this,they will steal it and share amongst themselves."
3051,JohnLaw01107528,2022-12-23 08:05:31+00:00,0,Twitter for Android,@wandeo @DibuaPeter @Ifejiro1 @GRVlagos Ok thanks. Does it run on ground or the the that runs on top of the road.? So i will show you that you're disgracing yourself and supporting failure.
3052,RealDonaldDoo,2022-12-23 08:05:28+00:00,5,Twitter for iPhone,"@i_amjohnbulla @GRVlagos @bharbzido How are those petty tweets ? What’s wrong stating how a government is failing ? 

Leave who has tweeted it, focus on the tweet."
3053,Nizzy_dee,2022-12-23 08:05:05+00:00,0,Twitter for iPhone,"@naija_nemesis @imd1973 @anewname758 @GRVlagos @GRVlagos2023 Now the people clause is 
“Even if they did not do anything that should not tell me that I should pray that another tribe should take over my community” these are people who never had light for 2 good years in LAGOS. The card wasn’t a good one from LP"
3054,nnamani19,2022-12-23 08:04:43+00:00,2,Twitter for Android,@Tony4israel @SavvyRinu @GRVlagos It's a pity bro
3055,Temidayo2311,2022-12-23 08:04:30+00:00,0,Twitter for Android,@GRVlagos Celebrating mediocrity is in our blood... this will change soon. #WeCantContinueLikeThis
3056,naija_nemesis,2022-12-23 08:04:15+00:00,1,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 I still get Yorubas saying to me to go back to my ""state"" despite been born here, if Lagos or southwest was a seperate country I will be more eligible for citizenship in Lagos than Anambra but yet I get insulted on a daily basis from colleagues, landlords and neighbours so I know"
3057,wandeo,2022-12-23 08:04:08+00:00,1,Twitter Web App,@Officialecash @kaskingery @OnkuMike @GRVlagos This is enough answer https://t.co/D0xVgTGsHh
3058,bisi_ola_,2022-12-23 08:03:56+00:00,1,Twitter for iPhone,@ReformerOluseun @GRVlagos Omo🤦🏾‍♂️🤦🏾‍♂️
3059,bisi_ola_,2022-12-23 08:03:48+00:00,0,Twitter for iPhone,@emmanuelsondeji @ReformerOluseun @GRVlagos Amen
3060,KazeemA70699797,2022-12-23 08:02:55+00:00,3,Twitter Web App,@cicontop @GRVlagos the money was borrowed from biafra land
3061,ensurewords,2022-12-23 08:02:43+00:00,0,Twitter for Android,@1776_yori @GRVlagos And turn Lagos to London tinubu run to for treatment
3062,wandeo,2022-12-23 08:02:41+00:00,4,Twitter Web App,@AnthonyKvngsman @GRVlagos A state of over 5m people. No wonder GSM told you to be riding bicycle in Ibadan. These Rural dwellers will have brain some day!
3063,1776_yori,2022-12-23 08:02:39+00:00,1,Twitter for Android,"@badmusadewale1 @Emekagopara @GRVlagos People wey dey craze,anyone who critiques should at least tell us they won't borrow money to build it or say they will deliver the rail in 2yrs which is what Sanwoolu has done,then we will take them seriously. Any other info is rubbish talk."
3064,KazeemA70699797,2022-12-23 08:02:25+00:00,7,Twitter Web App,@drealjustndi @GRVlagos and where is ghana today? they are completely broke
3065,Nizzy_dee,2022-12-23 08:02:15+00:00,0,Twitter for iPhone,"@OlamideGregory1 @Fabulous_4c @bheehiive @GRVlagos @GRVlagos2023 Na so them go disguise take defeat Una 😂😂. When you see Agbadorians supporting you dear no suppose dey catch you? 

LP gave TINUBU a landslide victory in that area by playing this card these people are mostly indigenes who are impoverished and yeah read this.. https://t.co/HK9X0YeKp2"
3066,naija_nemesis,2022-12-23 08:02:15+00:00,0,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 I know and I understand what your saying baba, don't think I don't know, I was born in Lagos Island,my parents are civil servants brought to Lagos to develop the then Federal Capital Territory, they have been here for more than 50years and I still receive Tribalist insults"
3067,IgboboyThat,2022-12-23 08:01:22+00:00,0,Twitter for Android,@GRVlagos Let say 67yrs
3068,wandeo,2022-12-23 08:01:12+00:00,0,Twitter Web App,@lexzek @reaper_not_grim @GRVlagos Oponu!
3069,wandeo,2022-12-23 08:01:11+00:00,0,Twitter Web App,@JohnLaw01107528 @DibuaPeter @Ifejiro1 @GRVlagos This one https://t.co/0cTytYcn2p
3070,PAkogbeto,2022-12-23 08:01:05+00:00,0,Twitter for Android,"@bheehiive @Nizzy_dee @GRVlagos @GRVlagos2023 Everyone wants to claim Lagosian, you don forbid your papa land."
3071,OkoronkwoPC,2022-12-23 08:00:38+00:00,1,Twitter for Android,@SavvyRinu @GRVlagos @nnamani19 Seriously
3072,ensurewords,2022-12-23 08:00:28+00:00,0,Twitter for Android,"@josh__tntl @Ramsak123 @GRVlagos That is the problem with you people, there will be a debate between the candidates and we will see what grv will do to sanwo olu. Abi sanwo self no go come debate?"
3073,effissyyuppie,2022-12-23 08:00:27+00:00,1,Twitter for Android,@Nizzy_dee @oshedondada @GRVlagos @GRVlagos2023 Maybe you should contest then 🤷‍♂️
3074,wandeo,2022-12-23 08:00:17+00:00,0,Twitter Web App,@beckie10203 @GRVlagos Dundee!
3075,CLOUDNii9,2022-12-23 07:59:54+00:00,0,Twitter for iPhone,"@Chuc__kky @GRVlagos Yes , everybody na thief but at least make other thieves dey drop something tangible from what they stole too"
3076,Whizdomtalks,2022-12-23 07:59:45+00:00,4,Twitter for Android,"@Roodie77 @GRVlagos Good governance is everyone's responsibility.... we're all instruments for building a desirable Nigeria...as you have heard him speak, spread the world. Flyer or not flyer"
3077,naija_nemesis,2022-12-23 07:59:32+00:00,1,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 The guy is a pure Yoruba man,he just adopted Igbo names for acceptance,same as Rotimi Amaechi,Is he 1/2 Yoruba as well?You need to be more tolerant about other tribes that live with you,that's the Yoruba way &amp;I respect them for that,but informing GRV won't change the constitution"
3078,AjeniRubben,2022-12-23 07:59:07+00:00,0,Twitter for Android,@GRVlagos U said $1.2bn. I tot it was $16bn for that rail. I still dey look for where the sustainable electricity will be generated to power it
3079,Nizzy_dee,2022-12-23 07:59:02+00:00,0,Twitter for iPhone,@khene_toni @brynolino @design_freek @GRVlagos @GRVlagos2023 And if he plays on nepotism he will favor his people. 😇😇 The fact still remains that’s a wrong card played.
