,User,Date Created,Number of Likes,Source of Tweet,Tweet
57,dayocoker1,2023-01-01 20:42:24+00:00,0,Twitter for Android,@Official_ABAT @fkeyamo @abikedabiri @jidesanwoolu @BashirAhmaad @adamugarba
58,factfactos,2023-01-01 20:42:21+00:00,0,Twitter for iPhone,"@official_juxkid @furySava @jidesanwoolu I'm sure ibos aren't part of the non Lagosians. You're leeches on Lagos infrastructures. It's when you guys realize the ground is softer that you started doubling down with your kinsmen. Anytime Lagos govt makes a law to checkmate you, your elders quickly go to pacify govt. Lol"
59,factfactos,2023-01-01 20:39:41+00:00,0,Twitter for iPhone,"@official_juxkid @furySava @jidesanwoolu I've been to your region and not even my enemy can live in that jungle. Reason why you all wanna kpai in Lagos. It's fine to go where the grass is greener but coming to other's land and feeling you have a say in how they live their life, it shows you've over stay your welcome."
60,Amb_Akanni,2023-01-01 20:38:30+00:00,1,Twitter for Android,"Happy New Year!!
@jidesanwoolu 
@JokeSanwoolu 
@drobafemihamzat 
@TVCconnect 
@LagosWatchdogs https://t.co/708VR7dAOa"
61,ibro1089,2023-01-01 20:37:37+00:00,0,Twitter for Android,@Abiolaaaaaaa @jidesanwoolu Public private partnership
62,AlakijaSegun17,2023-01-01 20:36:15+00:00,0,Twitter for Android,"@followlasg @jidesanwoolu @drobafemihamzat @gboyegaakosile @gbenga_omo @fjaji @hmokunola_ @LagostourismO @Mr_JAGs Sanwo olu open up Apongbon bridge, the traffic is unbearable."
63,factfactos,2023-01-01 20:35:57+00:00,0,Twitter for iPhone,@official_juxkid @furySava @jidesanwoolu How I wish you know the person behind this handle. I will keep hammering it to your eyes not to feel too comfortable in Lagos. You know where you belong to. One Nigeria is your solace and you should enjoy it while it lasts.
64,LagostourismO,2023-01-01 20:30:56+00:00,0,Twitter for iPhone,"2023: SANWO-OLU CONGRATULATES LAGOSIANS, PROMISES MORE IMPACTING GOVERNANCE, STEADFAST LEADERSHIP

@lagostourism
@greaterlagosfiesta2022
@officesalagostourism
@akinbileyusuff
@lagosdeputygovernorsoffice
@g.omotosho 
@drobafemihamzat
@jidesanwoolu https://t.co/4wN1Kwvsin"
65,code_naij,2023-01-01 20:29:14+00:00,1,Twitter for iPhone,@FlamzespotNg @Adesola_Solace @Oolusegun_obj @jidesanwoolu I didn’t see your name in the list of people he trained. What happened? Are you in the “etc”?
66,Macmacall1,2023-01-01 20:28:16+00:00,1,Twitter for Android,I don't usually make comments here...but concerning the below... it's like saying  Pele endorses Brazil to win the World Cup...Pele is dead and Brazil is out of the World Cup..discuss 500 words🥸🤔 @KashimSM @officialABAT @elrufai @kfayemi @jidesanwoolu Together we shall stronger https://t.co/YfmkwZshQA
67,oluwatfemi4,2023-01-01 20:20:50+00:00,3,Twitter for iPhone,@BWLawal @amasonic @Abiolaaaaaaa @jidesanwoolu Public private partnership
68,olasupreme19,2023-01-01 20:18:58+00:00,0,Twitter for Android,@jidesanwoolu Mr governor come to our rescue at palmgroove we live in face me and face you  the lawyer in charge of the house we are living  sold the house and collect one year from the tenant  and gave us one month notice to pack out please 🙏 sir look into it  please 🙏 sir https://t.co/o1fOkjhMo1
69,Gbemmy_27011,2023-01-01 20:11:19+00:00,3,Twitter for Android,@FlamzespotNg @Adesola_Solace @Oolusegun_obj @jidesanwoolu He just said we the sensible youths will vote Peter Obi and not the unfortunate ones.
70,olasupreme19,2023-01-01 20:10:06+00:00,0,Twitter for Android,"@followlasg @jidesanwoolu @drobafemihamzat @gboyegaakosile @gbenga_omo @fjaji @hmokunola_ @LagostourismO @Mr_JAGs Na so so promise you go dey lie for us
No house to live in Lagos again please if you people to enjoy your government  please provide houses to live good transportation low cost of living"
71,followlasg,2023-01-01 20:08:00+00:00,51,Twitter for Android,"2023: SANWO-OLU CONGRATULATES LAGOSIANS, PROMISES MORE IMPACTING GOVERNANCE, STEADFAST LEADERSHIP

Read more: https://t.co/go4AIfbrdg

@jidesanwoolu @drobafemihamzat @gboyegaakosile @gbenga_omo @fjaji @hmokunola_ @LagostourismO @Mr_JAGs 
#LASG 
#HappyNewYear2023
#ForAGreaterLagos https://t.co/WMXEjFrLel"
72,Olarindeoladay5,2023-01-01 20:00:38+00:00,1,Twitter for Android,"Everywhere is just black our @jidesanwoolu @officialABAT @OfficialAPCNg has failed us
End Tinubu's Dominance of lagos before it end you https://t.co/vvsE4XeYr8"
73,twinbee0126,2023-01-01 19:56:55+00:00,0,Twitter for Android,"@officialABAT @jidesanwoolu @drobafemihamzat @tundefashola @AkinwunmiAmbode @LagosMoj For decades, you've sat there while some have brought in fake medicine, fake car parts, &amp; fake goods, You actively enabled and funded them. And now you wonder how we lost our economic status?"
74,isidasome,2023-01-01 19:55:09+00:00,0,Twitter for Android,@jidesanwoolu Great.
75,Olarindeoladay5,2023-01-01 19:51:57+00:00,7,Twitter for Android,The whole stretch of obafemi awolowo way in ikorodu is dark despite billions of naira voted by @jidesanwoolu @APC_News has failed https://t.co/fmEqGb5PHP
76,Olarindeoladay5,2023-01-01 19:50:01+00:00,0,Twitter for Android,Ota ona grammar school in ikorodu @jidesanwoolu @Mr_JAGs @followlastma https://t.co/pZb4UHpdvv
77,Ajaguna1,2023-01-01 19:49:24+00:00,0,Twitter for iPhone,@DadAlexi @SafyBoss @jidesanwoolu @GSLNigeria Lol
78,SceezeFire,2023-01-01 19:44:08+00:00,0,Twitter for Android,@HonourOyewole @Mr_JAGs @jidesanwoolu @ppplagos @olumide_sogunle @Riddwane @gboyegaakosile @gbenga_omo @LASGWorks @ramadeyo @OlusesanDaini ...and may your life too be at a standstill for those 20yrs if that is what you wish for this project. People who are allergic to progress are usually at a standstill. Say Amen.
79,Blackadonis_18,2023-01-01 19:37:35+00:00,0,Twitter for Android,"@HeasslerO @Adebayoyinkz @jidesanwoolu What the hell 😳
This is Terrible,  I grew up in this places seeing it like this is really bad"
80,strangeaboki,2023-01-01 19:33:09+00:00,0,Twitter for iPhone,@LagosMepb @jidesanwoolu @LagosSDGInvest Wow! So colorful 🎈💜
81,busari_jelili,2023-01-01 19:28:38+00:00,0,Twitter Web App,@evanesce_01 @jidesanwoolu Iro afi katun ko eyi ti ojube lo
82,gbolahanas,2023-01-01 19:24:16+00:00,23,Twitter for Android,"While the world, including Nigeria, fittingly celebrated the passing of football icon Pele, here is one-time goalkeeper of our National Team from 1966 to 1983, Peter Fregene AKA The Flying Cat languishing in penury! @SundayDareSD @jidesanwoolu please do smth https://t.co/cqITjbSKuG"
83,kolaLawal14,2023-01-01 19:20:47+00:00,0,Twitter for Android,"@jidesanwoolu HNY sir, what's our offence in Ladipo str. Mushin? There's no road in the whole of Lagos that's as bad as Ladipo str. Haba!!!"
84,Mecks4U,2023-01-01 19:14:26+00:00,0,Twitter for Android,@Mr_JAGs @jidesanwoolu @ppplagos @olumide_sogunle @Riddwane @gboyegaakosile @gbenga_omo @LASGWorks @ramadeyo @OlusesanDaini https://t.co/obK4Fyt78e
85,ar1kdfkm,2023-01-01 19:13:37+00:00,0,Twitter for iPhone,@LagosMepb @jidesanwoolu @LagosSDGInvest oh wow
86,Praisemuse,2023-01-01 19:11:49+00:00,0,Twitter for Android,@akinwale_cfi @ProfOsinbajo @jidesanwoolu Bigger things this year
87,OfficeJudge,2023-01-01 19:09:19+00:00,3,Twitter for Android,"Happy New Year From Lagos State Judiciary 
@followlasg
@lagosmoj 
@JusticeAlogba 
@PublicCentre 
@Mr_JAGs 
@drobafemihamzat 
@jidesanwoolu 
#lagosjudiciary
#HappyNewYear2023
#ForAGreaterLagos https://t.co/28o4bioHNy"
88,Ajaguna1,2023-01-01 19:07:54+00:00,0,Twitter for iPhone,@Gagulus @desenator1212 @Askjide @Mr_JAGs @HonourOyewole @jidesanwoolu @ppplagos @olumide_sogunle @Riddwane @gboyegaakosile @gbenga_omo @LASGWorks @ramadeyo @OlusesanDaini Just like your fada
89,i_am_ASAA,2023-01-01 18:56:30+00:00,0,Twitter for iPhone,@jidesanwoolu Happy New Year Mr Governor!! Wishing you and your family the very best this year 2023!!
90,H1bikay,2023-01-01 18:42:59+00:00,0,Twitter for Android,@akinwale_cfi @ProfOsinbajo @jidesanwoolu Inshallah 🙏
91,joyforever74,2023-01-01 18:39:00+00:00,0,Twitter for Android,"Happy New Year @followlasg @LSPWC_Official , thanks for Gilling Oke-Suna, Lafiaji's portholes with gravels, kindly do same for Kings College area by TBS too. Many thanks. @gbenga_omo @Mr_Jags @gboyegaakosile @jidesanwoolu @trafficbutter @Gidi_Traffic"
92,farm_enterprise,2023-01-01 18:38:07+00:00,1,Twitter for iPhone,@akinwale_cfi @ProfOsinbajo @jidesanwoolu You will get there Boss
93,lagospedia,2023-01-01 18:22:23+00:00,0,Twitter for Android,@OriDharmi @jidesanwoolu @drobafemihamzat @followlasg Amen
94,Yommiefuja,2023-01-01 18:20:07+00:00,0,Twitter for Android,@jidesanwoolu Same to you Mr Governor... We wish you and your team the very best in the new year
95,lagospress,2023-01-01 18:17:34+00:00,0,Twitter Web App,"@jidesanwoolu was represented by his deputy, @drobafemihamzat at the annual end-of-the-year entertainment tagged ‘Greater Lagos Fiesta’, where thousands of Lagosians danced and prayed into the New Year."
