,User,Date Created,Number of Likes,Source of Tweet,Tweet
89,EhisabheleA,2022-12-31 01:25:24+00:00,1,Twitter for Android,@omoluabi1sq Let's vote for @officialjandor for dry bones to rise again . for he is blessed with the ability to make everything will so much lack in Lagos to fall in place .
90,EhisabheleA,2022-12-31 01:22:17+00:00,3,Twitter for Android,"@tomakinta @officialjandor @officialABAT @OfficialPDPNig Let's vote for @officialjandor , for if we vote for him Lagos will become better."
91,ayisat_opeyemi,2022-12-30 22:49:17+00:00,0,Twitter for iPhone,@fabian6732 @laruze3 @EhisabheleA @Richard128025 @officialjandor Headache*
92,ayisat_opeyemi,2022-12-30 22:27:49+00:00,1,Twitter for iPhone,"@fabian6732 @laruze3 @EhisabheleA @Richard128025 @officialjandor Wow PDP better than APC you guys can’t stop to amaze me!! 😀😀 God in heaven won’t allow PDP to rule this nation again 

No road no train, no agriculture, no airport, nothing nothing for 16yrs

Is like you don smoke weed, as you mention PDP I get head straight"
93,CounselLevis,2022-12-30 22:20:18+00:00,0,Twitter for Android,"@banjiakinleye @officialjandor Growing up, learnt, Yorubas are educated. Every household has at least one professor, there's arguably no tribe more informed. Looking at y'all feeling entitled rh, holding up a man whose hands won't stay up for a sec, to lead me, shows the bs &amp;empty cleverness y'all have, tueh!"
94,fabian6732,2022-12-30 22:19:24+00:00,0,Twitter for Android,"@laruze3 @EhisabheleA @Richard128025 @ayisat_opeyemi @officialjandor Lolz what's my biz with PDP.. Even if I don't support PDP, their regimes where far better than this tyrant of government... APC has brought nothing but pains, bad luck, poverty, corruptions in d highest order, misuses of power... E.. t .c..."
95,Olarindeoladay5,2022-12-30 21:16:15+00:00,0,Twitter for Android,"Since you know this, then let's join hands with @officialjandor @OfficialPDPNig to rescue lagos instead of splitting the votes 
Join @OfficialPDPNig to fight our common enemy 
Say No to baba sope"
96,bunmi19855,2022-12-30 19:27:12+00:00,1,Twitter for Android,"@omoluabi1sq It's @officialjandor o'clock people.
#vote4jandor
#vote4jandor
#vote4jandor"
97,salam_ajani,2022-12-30 18:38:26+00:00,0,Twitter for Android,@officialjandor This PDP  just waste ticket on top this guy wey suppose start as Ward leader
98,aruwayosamuel,2022-12-30 18:14:04+00:00,0,Twitter for Android,@Genesisrebirth2 @officialjandor A vote for Jandor is a vote for freedom
99,lanreisrael,2022-12-30 18:07:37+00:00,1,Twitter for Android,@Genesisrebirth2 @officialjandor Jandor will turn Lagos State to the  pride of southwest if elected. Get your PVC now. Vote Jandor.
100,lanreisrael,2022-12-30 18:03:06+00:00,0,Twitter for Android,"@officialjandor I want to celebrate a great leader of the Ndigbo, life well spent purposefully for humanity. May his Soul rest in Peace."
101,Teejayejide,2022-12-30 17:22:23+00:00,0,Twitter for Android,@officialjandor Rip to him
102,Dinz08963266,2022-12-30 17:03:32+00:00,0,Twitter Web App,@officialjandor *Obiozor
103,kbaba1212,2022-12-30 16:42:04+00:00,0,Twitter for Android,@officialjandor Rest on Prof.
104,Enuguboy442,2022-12-30 16:39:30+00:00,0,Twitter for Android,@AkinyoMichael @officialjandor May God punish you for that statement.
105,sheunasiru1,2022-12-30 16:06:55+00:00,0,Twitter for Android,@Genesisrebirth2 @officialjandor Jandor is 16 governor of Lagos inshaAllah Rahman 🙏
106,sheunasiru1,2022-12-30 16:06:34+00:00,0,Twitter for Android,@Genesisrebirth2 @officialjandor A Man that care 💅 for All lagosia
107,sheunasiru1,2022-12-30 16:02:14+00:00,0,Twitter for Android,@officialjandor Hero rest on jandor team care 💅
108,Tijaybarry,2022-12-30 15:55:53+00:00,0,Twitter for Android,"@Genesisrebirth2 @officialjandor The best candidate so far, after Funsho Williams"
109,nelempowerment,2022-12-30 15:36:21+00:00,0,Twitter for iPhone,@Genesisrebirth2 @officialjandor The man that can turn Lagos to a metropolis 🙏🏼🙏🏼
110,Tijaybarry,2022-12-30 15:35:52+00:00,0,Twitter for Android,@VANPDPNg @funkeakindele @officialjandor We need someone that would rescue Lagos which is Jandor not Sanwo-olu that will be expecting order from Tinubu
111,Genesisrebirth2,2022-12-30 15:28:00+00:00,1,Twitter for Android,@omoluabi1sq @funkeakindele @officialjandor They know the truth that she can change Lagos
112,bunmi19855,2022-12-30 15:27:17+00:00,0,Twitter for Android,"@officialjandor Find peace sir. In another news. 
#vote4jandor
#vote4jandor
#vote4jandor"
113,ADEGBOLADANIEL8,2022-12-30 15:25:45+00:00,0,Twitter for Android,@Genesisrebirth2 @officialjandor Jandor the only man that capable for the job...
114,CokerGrace4,2022-12-30 15:23:12+00:00,2,Twitter for iPhone,@Genesisrebirth2 @officialjandor The right man to give us a better Lagos.
115,Genesisrebirth2,2022-12-30 15:16:56+00:00,25,Twitter for Android,"Am proud to present to lagosians a man that has us all at heart,a man with a positive blueprint to transform Lagos,a man we can be proud to address as our governor,a man that answers to no godfather but God the father.
His name is @officialjandor..#vote4jandor https://t.co/pQyIf6Ku99"
116,CokerGrace4,2022-12-30 15:10:16+00:00,0,Twitter for iPhone,"@VANPDPNg @funkeakindele @officialjandor Yes, we want a governor that can take decisions that will benefit Lagos on his own."
117,CokerGrace4,2022-12-30 15:07:52+00:00,0,Twitter for iPhone,@officialjandor Rip to him
118,Genesisrebirth2,2022-12-30 15:04:56+00:00,6,Twitter for Android,"@officialjandor He's an hero and I pray he rest in God's Bossom..
But let's not forget that a vote for jandor is a vote for a breathe of fresh air in Lagos"
119,Genesisrebirth2,2022-12-30 15:00:48+00:00,3,Twitter for Android,@VANPDPNg @funkeakindele @officialjandor A leader with no godfather but God the father...
120,ADEGBOLADANIEL8,2022-12-30 14:58:22+00:00,3,Twitter for Android,"@VANPDPNg @funkeakindele @officialjandor The time to build a new Lagos is now, with jandor and FUNKE,"
121,ADEGBOLADANIEL8,2022-12-30 14:50:36+00:00,2,Twitter for Android,"@officialjandor My condolence to his family, friend, wife and children is to say, may God almighty Grant them more fortitude to Bear this great loss"
122,KunleOshobi,2022-12-30 14:47:59+00:00,2,Twitter for Android,@officialjandor May his soul rest in perfect peace.
123,rebuildinglagos,2022-12-30 14:32:45+00:00,2,Twitter for iPhone,@VANPDPNg @funkeakindele @officialjandor Not a druggie stooge !! Not the one that Kills citizens because they want a better Lagos.
124,onyxdynamics,2022-12-30 14:31:27+00:00,1,Twitter for Android,Sanwoolu has been lying about paying gratuities and pensions of Lagos state retirees. Lagos needs a breath of fresh air. https://t.co/I3KN4boqla @atiku @officialjandor @funkeakindele @aeroland2015
125,nelempowerment,2022-12-30 14:25:40+00:00,4,Twitter for iPhone,@VANPDPNg @funkeakindele @officialjandor The leader that will fight for us and care for our lives 🙏🏼🙏🏼🙏🏼
126,Tiger_Kent,2022-12-30 14:14:03+00:00,3,Twitter Web App,"@officialjandor May the soul of the departed rest in peace. It only pains me that he won't be around to witness and enjoy what he supported and helped to build, a Free and Just Lagos for all Lagosians irrespective of their religion or ethic heritage.

Rest in peace Mazi Obialor"
127,VANPDPNg,2022-12-30 14:12:58+00:00,133,Twitter for Android,We want a leader who answer to us not to a godfather ! #Jandor @funkeakindele @officialjandor https://t.co/W7Nx4dRLC3
128,Tijaybarry,2022-12-30 14:05:32+00:00,1,Twitter for Android,@officialjandor May his soul rest in perfect peace
129,nelempowerment,2022-12-30 13:48:26+00:00,1,Twitter for iPhone,@officialjandor May his gently soul Rest In Peace. Amen
130,orllumeeday,2022-12-30 13:15:13+00:00,1,Twitter for Android,"@officialjandor My condolences to the family, Igbo community in Lagos and the Ohanaeze Ndigbo worldwide. May God give the Igbo nation a worthy leader in replacement even as we pray that Lagos heave a sigh of relief with the pair of #JaFunEko2023"
131,laoluapara,2022-12-30 13:11:56+00:00,2,Twitter for Android,@officialjandor We join our amiable incoming 16th governor of Lagos state to condole with the Ndigbo. May the soul of Prof. Obialor rest in peace.
132,officialjandor,2022-12-30 13:06:19+00:00,27,Twitter for iPhone,"To hear of his passing is a great shock to me and a great loss to all Igbo citizens of Lagos. He worked tirelessly to bridge ethnic division and promote a united Nigeria, inspiring others to do the same. I commiserate with his family and wish his soul peaceful repose."
133,officialjandor,2022-12-30 13:06:18+00:00,163,Twitter for iPhone,"I have enjoyed a long and mutually respectful relationship with the Ndigbo in Lagos and Nigeria in general because of the stellar leadership of the Ohaneze Ndigbo President General, Professor George Obialor. https://t.co/w6n5UTOVRQ"
134,BossDGreat,2022-12-30 12:54:49+00:00,0,Twitter for Android,"@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor @officialjandor must be crazy how will u say ds when u already dT u are d one strategis ing for @officialABAT, oga u are lying."
135,laruze3,2022-12-30 12:49:27+00:00,1,Twitter for Android,"@fabian6732 @EhisabheleA @Richard128025 @ayisat_opeyemi @officialjandor How have the pdp you are supporting take you out of captivity? You prefer ur personal gain to common good of the people, Ole!"
136,walata44,2022-12-30 12:33:10+00:00,1,Twitter for Android,"@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor Your wahala, the only opposition to Tinubu grip on Lagos is @NgLabour candidate, @GRVlagos."
137,HinvestGlobal,2022-12-30 11:52:13+00:00,0,Twitter for iPhone,@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor That’s what you’re?
138,AbdulrazaqOlatu,2022-12-30 11:47:29+00:00,0,Twitter for Android,@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor His cup of tea.
139,JustBidemi,2022-12-30 11:44:11+00:00,2,Twitter for Android,@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor You never win you don dey lie...
140,fabian6732,2022-12-30 11:35:40+00:00,0,Twitter for Android,@laruze3 @EhisabheleA @Richard128025 @ayisat_opeyemi @officialjandor I know u like to be caged than free like a bird 🕊️ to fly... Enjoy ur imprisonment
141,EhisabheleA,2022-12-30 10:36:57+00:00,1,Twitter for Android,@vanguardngrnews My dear @officialjandor I stand by you all the way .
142,Mohidin04,2022-12-30 10:12:09+00:00,0,Twitter for iPhone,"@Mukie_16 @DavidHundeyin You can quickly look him up , he is here on twitter too. @officialjandor."
143,Genesisrebirth2,2022-12-30 08:43:45+00:00,1,Twitter for Android,"@omoluabi1sq @officialABAT @funkeakindele @officialjandor @_dinomelaye @renoomokri @atiku One thing is sure,jandor is the next governor of Lagos state"
144,b84eaa9348ee4f4,2022-12-30 08:34:23+00:00,0,Twitter for Android,@officialjandor pdp power to the people
145,brightcee167,2022-12-30 06:17:14+00:00,0,Twitter for iPhone,@officialjandor PDP oo or APC oo no difference between two of Una we need a different party we need a change we don’t want repitition of thieves anymore although I still prefer the PDP compared to the APC though
146,mustapha_yashi,2022-12-30 01:04:05+00:00,0,Twitter for Android,@officialjandor Help me Sir. I got admissions with the NIGERIAN LAW SCHOOL twice but couldn't attend due to financial difficulties. I have gotten it for the third time now and we are waiting for our posting letters. I summoned the courage to beg against my wish/principle.
147,honprincegodwin,2022-12-29 22:17:53+00:00,0,Twitter for Android,@officialjandor Good move by these loyalists.More oil to your elbows.
148,AdeRoyal200,2022-12-29 22:11:30+00:00,0,Twitter for Android,@officialjandor Go on Mr. You are the best candidate in Lagos for now.
149,Wasiutaiye11,2022-12-29 21:51:09+00:00,0,Twitter for Android,@officialjandor my incoming governor in sha Allah
150,adesanyagboye,2022-12-29 21:40:12+00:00,1,Twitter for Android,@officialjandor @Eniolababss Honestly I pity your followers. You will soon go and beg Jagaban because you will not win a single local government in Lagos
151,yusuf_kesir,2022-12-29 21:34:08+00:00,0,Twitter for Android,@officialjandor God would bring our grace
152,Oladepoolawale9,2022-12-29 21:24:56+00:00,0,Twitter Web App,"@officialjandor They just come to collect your money 😂,they will not work for you. Thanks"
153,esho_emmy,2022-12-29 21:06:22+00:00,1,Twitter for Android,"@Twenty1st_Pilot @atiku @officialjandor Thank you. But I just exercised my civic rights of communication. You are free to support whomever you want my brother.

I am voting for @atiku and @officialjandor"
154,Bulus8Nancy,2022-12-29 20:49:41+00:00,0,Twitter for iPhone,@officialjandor All the best sir
155,ABDULATEEFOLAI9,2022-12-29 20:40:58+00:00,0,Twitter for Android,"@officialjandor APC/BAT is d party/person to beat in forthcoming election. Enjoy ur deluxe delusions😂
Excite ur gullible audience😍"
156,sheunasiru1,2022-12-29 20:21:35+00:00,0,Twitter for Android,@omoluabi1sq @funkeakindele @officialjandor I will not stop them because there enemies we comes back to Glory for use janfuke jafuneko jafuetoe PDP parwer
157,sheunasiru1,2022-12-29 20:18:29+00:00,0,Twitter for Android,@officialjandor I know one tin wen God said now no one can said later PDP parwer Lagos for làgos it's now wajabati
